,pipeline.0.normalize,pipeline.1.filter.gene,pipeline.2.filter.cell,pipeline.3.feature.cell,info,run_id
49,ScTransform,FilterGenesTopK,FilterCellsScanpyOrder,WeightedFeatureSVD,"wandb: ERROR Run viyuynnu errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 383, in __call__
wandb: ERROR     mask = self._get_preserve_mask(gene_summary)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 516, in _get_preserve_mask
wandb: ERROR     raise ValueError(f""{self.num_genes=!r} > total number of genes: {total_num_genes}"")
wandb: ERROR ValueError: self.num_genes=1000 > total number of genes: 1000",viyuynnu
50,ScTransform,HighlyVariableGenesLogarithmizedByMeanAndDisp,FilterCellsScanpyOrder,WeightedFeaturePCA,"wandb: ERROR Run hsvabi5e errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/cell_feature.py"", line 50, in __call__
wandb: ERROR     gene_feat = gene_pca.fit_transform(feat.T)  # decompose into gene features
wandb: ERROR                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 157, in wrapped
wandb: ERROR     data_to_wrap = f(self, X, *args, **kwargs)
wandb: ERROR                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 1152, in wrapper
wandb: ERROR     return fit_method(estimator, *args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/decomposition/_pca.py"", line 460, in fit_transform
wandb: ERROR     U, S, Vt = self._fit(X)
wandb: ERROR                ^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/decomposition/_pca.py"", line 483, in _fit
wandb: ERROR     X = self._validate_data(
wandb: ERROR         ^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 605, in _validate_data
wandb: ERROR     out = check_array(X, input_name=""X"", **check_params)
wandb: ERROR           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/validation.py"", line 976, in check_array
wandb: ERROR     raise ValueError(
wandb: ERROR ValueError: Found array with 0 feature(s) (shape=(245, 0)) while a minimum of 1 is required by PCA.",hsvabi5e
51,ScTransform,HighlyVariableGenesLogarithmizedByMeanAndDisp,FilterCellsScanpyOrder,WeightedFeatureSVD,"wandb: ERROR Run qr5ligaq errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/cell_feature.py"", line 98, in __call__
wandb: ERROR     svd.fit_transform(feat)
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 157, in wrapped
wandb: ERROR     data_to_wrap = f(self, X, *args, **kwargs)
wandb: ERROR                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 1145, in wrapper
wandb: ERROR     estimator._validate_params()
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 638, in _validate_params
wandb: ERROR     validate_parameter_constraints(
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_param_validation.py"", line 96, in validate_parameter_constraints
wandb: ERROR     raise InvalidParameterError(
wandb: ERROR sklearn.utils._param_validation.InvalidParameterError: The 'n_components' parameter of TruncatedSVD must be an int in the range [1, inf). Got -1 instead.",qr5ligaq
52,ScaleFeature,FilterGenesPercentile,FilterCellsScanpyOrder,WeightedFeaturePCA,"wandb: ERROR Run 799eui2m errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/cell_feature.py"", line 50, in __call__
wandb: ERROR     gene_feat = gene_pca.fit_transform(feat.T)  # decompose into gene features
wandb: ERROR                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 157, in wrapped
wandb: ERROR     data_to_wrap = f(self, X, *args, **kwargs)
wandb: ERROR                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 1152, in wrapper
wandb: ERROR     return fit_method(estimator, *args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/decomposition/_pca.py"", line 460, in fit_transform
wandb: ERROR     U, S, Vt = self._fit(X)
wandb: ERROR                ^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/decomposition/_pca.py"", line 483, in _fit
wandb: ERROR     X = self._validate_data(
wandb: ERROR         ^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 605, in _validate_data
wandb: ERROR     out = check_array(X, input_name=""X"", **check_params)
wandb: ERROR           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/validation.py"", line 976, in check_array
wandb: ERROR     raise ValueError(
wandb: ERROR ValueError: Found array with 0 feature(s) (shape=(981, 0)) while a minimum of 1 is required by PCA.",799eui2m
53,ScaleFeature,FilterGenesPercentile,FilterCellsScanpyOrder,WeightedFeatureSVD,"wandb: ERROR Run dwjnatv4 errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/cell_feature.py"", line 98, in __call__
wandb: ERROR     svd.fit_transform(feat)
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 157, in wrapped
wandb: ERROR     data_to_wrap = f(self, X, *args, **kwargs)
wandb: ERROR                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 1145, in wrapper
wandb: ERROR     estimator._validate_params()
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 638, in _validate_params
wandb: ERROR     validate_parameter_constraints(
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_param_validation.py"", line 96, in validate_parameter_constraints
wandb: ERROR     raise InvalidParameterError(
wandb: ERROR sklearn.utils._param_validation.InvalidParameterError: The 'n_components' parameter of TruncatedSVD must be an int in the range [1, inf). Got -1 instead.",dwjnatv4
54,ScaleFeature,FilterGenesPlaceHolder,FilterCellsScanpyOrder,WeightedFeaturePCA,"wandb: ERROR Run ddnix2dl errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/cell_feature.py"", line 50, in __call__
wandb: ERROR     gene_feat = gene_pca.fit_transform(feat.T)  # decompose into gene features
wandb: ERROR                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 157, in wrapped
wandb: ERROR     data_to_wrap = f(self, X, *args, **kwargs)
wandb: ERROR                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 1152, in wrapper
wandb: ERROR     return fit_method(estimator, *args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/decomposition/_pca.py"", line 460, in fit_transform
wandb: ERROR     U, S, Vt = self._fit(X)
wandb: ERROR                ^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/decomposition/_pca.py"", line 483, in _fit
wandb: ERROR     X = self._validate_data(
wandb: ERROR         ^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 605, in _validate_data
wandb: ERROR     out = check_array(X, input_name=""X"", **check_params)
wandb: ERROR           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/validation.py"", line 976, in check_array
wandb: ERROR     raise ValueError(
wandb: ERROR ValueError: Found array with 0 feature(s) (shape=(1000, 0)) while a minimum of 1 is required by PCA.",ddnix2dl
55,ScaleFeature,FilterGenesPlaceHolder,FilterCellsScanpyOrder,WeightedFeatureSVD,"wandb: ERROR Run g4egxzq5 errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/cell_feature.py"", line 98, in __call__
wandb: ERROR     svd.fit_transform(feat)
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_set_output.py"", line 157, in wrapped
wandb: ERROR     data_to_wrap = f(self, X, *args, **kwargs)
wandb: ERROR                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 1145, in wrapper
wandb: ERROR     estimator._validate_params()
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/base.py"", line 638, in _validate_params
wandb: ERROR     validate_parameter_constraints(
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/sklearn/utils/_param_validation.py"", line 96, in validate_parameter_constraints
wandb: ERROR     raise InvalidParameterError(
wandb: ERROR sklearn.utils._param_validation.InvalidParameterError: The 'n_components' parameter of TruncatedSVD must be an int in the range [1, inf). Got -1 instead.",g4egxzq5
56,ScaleFeature,FilterGenesRegression,FilterCellsPlaceHolder,WeightedFeaturePCA,"wandb: ERROR Run qbss49do errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 660, in __call__
wandb: ERROR     data.data.obsm[self.out] = filter_func(feat)
wandb: ERROR                                ^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 679, in _filter_enclasc
wandb: ERROR     feat_index = np.argpartition(scores, -num_genes)[-num_genes:]
wandb: ERROR                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/numpy/core/fromnumeric.py"", line 858, in argpartition
wandb: ERROR     return _wrapfunc(a, 'argpartition', kth, axis=axis, kind=kind, order=order)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/numpy/core/fromnumeric.py"", line 59, in _wrapfunc
wandb: ERROR     return bound(*args, **kwds)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^
wandb: ERROR ValueError: kth(=-1000) out of bounds (1000)",qbss49do
57,ScaleFeature,FilterGenesRegression,FilterCellsPlaceHolder,WeightedFeatureSVD,"wandb: ERROR Run kuwwgho7 errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 660, in __call__
wandb: ERROR     data.data.obsm[self.out] = filter_func(feat)
wandb: ERROR                                ^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 679, in _filter_enclasc
wandb: ERROR     feat_index = np.argpartition(scores, -num_genes)[-num_genes:]
wandb: ERROR                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/numpy/core/fromnumeric.py"", line 858, in argpartition
wandb: ERROR     return _wrapfunc(a, 'argpartition', kth, axis=axis, kind=kind, order=order)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/numpy/core/fromnumeric.py"", line 59, in _wrapfunc
wandb: ERROR     return bound(*args, **kwds)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^
wandb: ERROR ValueError: kth(=-1000) out of bounds (1000)",kuwwgho7
58,ScaleFeature,FilterGenesRegression,FilterCellsScanpyOrder,WeightedFeaturePCA,"wandb: ERROR Run z2b7sp8b errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 660, in __call__
wandb: ERROR     data.data.obsm[self.out] = filter_func(feat)
wandb: ERROR                                ^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 679, in _filter_enclasc
wandb: ERROR     feat_index = np.argpartition(scores, -num_genes)[-num_genes:]
wandb: ERROR                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/numpy/core/fromnumeric.py"", line 858, in argpartition
wandb: ERROR     return _wrapfunc(a, 'argpartition', kth, axis=axis, kind=kind, order=order)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/numpy/core/fromnumeric.py"", line 59, in _wrapfunc
wandb: ERROR     return bound(*args, **kwds)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^
wandb: ERROR ValueError: kth(=-1000) out of bounds (1000)",z2b7sp8b
59,ScaleFeature,FilterGenesRegression,FilterCellsScanpyOrder,WeightedFeatureSVD,"wandb: ERROR Run mrxhmqs8 errored:
wandb: ERROR Traceback (most recent call last):
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/wandb/agents/pyagent.py"", line 308, in _run_job
wandb: ERROR     self._function()
wandb: ERROR   File ""/home/zyxing/dance/examples/tuning/cluster_graphsc/main.py"", line 70, in evaluate_pipeline
wandb: ERROR     preprocessing_pipeline(data)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 232, in bounded_functional
wandb: ERROR     a(*args, **kwargs)
wandb: ERROR   File ""/home/zyxing/dance/dance/pipeline.py"", line 114, in __call__
wandb: ERROR     return self.functional(*args, **kwargs)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 660, in __call__
wandb: ERROR     data.data.obsm[self.out] = filter_func(feat)
wandb: ERROR                                ^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/dance/dance/transforms/filter.py"", line 679, in _filter_enclasc
wandb: ERROR     feat_index = np.argpartition(scores, -num_genes)[-num_genes:]
wandb: ERROR                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/numpy/core/fromnumeric.py"", line 858, in argpartition
wandb: ERROR     return _wrapfunc(a, 'argpartition', kth, axis=axis, kind=kind, order=order)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
wandb: ERROR   File ""/home/zyxing/anaconda3/envs/dance-env/lib/python3.11/site-packages/numpy/core/fromnumeric.py"", line 59, in _wrapfunc
wandb: ERROR     return bound(*args, **kwds)
wandb: ERROR            ^^^^^^^^^^^^^^^^^^^^
wandb: ERROR ValueError: kth(=-1000) out of bounds (1000)",mrxhmqs8
